                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+9.9999997764825821e-03,                      2,                      2,                  0x400,+5.3718686103820801e-05,+0.0000000000000000e+00,                      3,                  0x400,+2.6558091121842153e-05,+0.0000000000000000e+00,                      4,                  0x400,+1.8936229025712237e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      2,                  0x400,+1.7189956270158291e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.1044640713371336e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0951057346537709e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      2,                  0x400,+1.7187690536957234e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.1026847359025851e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0944006943609565e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      2,                  0x400,+1.7184468742925674e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.1001923566218466e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0934060709550977e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      2,                  0x400,+1.7180292343255132e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0969883886864409e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0921218644361943e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      2,                  0x400,+1.7175161337945610e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0930746510857716e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0905480748042464e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      2,                  0x400,+1.7169078637380153e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0884525990113616e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0886857934528962e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      2,                  0x400,+1.7162044241558760e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0831255066441372e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0865346565842628e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      2,                  0x400,+1.7154059605672956e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0770955567713827e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0840953917941079e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      2,                  0x400,+1.7145126184914261e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0703663873719051e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0813687266781926e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      2,                  0x400,+1.7135245434474200e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0629423640202731e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0783550250343978e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      2,                  0x400,+1.7124420264735818e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0548274884931743e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0750546506606042e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      2,                  0x400,+1.7112653586082160e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0460261263651773e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0714690587483346e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      2,                  0x400,+1.7099945398513228e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0365444622002542e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0675986130954698e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      2,                  0x400,+1.7086301522795111e-04,+0.0000000000000000e+00,                      3,                  0x400,+5.0263875891687348e-05,+0.0000000000000000e+00,                      4,                  0x400,+5.0634440412977710e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
